listing_id,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
21891,94,9,9,9,9,10,9
22212,84,9,9,10,9,10,8
22354,89,9,9,9,9,10,9
22982,98,10,10,10,10,10,10
23135,93,10,10,10,9,9,9
23192,100,10,10,10,10,10,10
23356,83,8,9,10,9,7,8
23363,94,10,10,10,10,10,9
23430,96,9,10,10,10,9,9
23501,94,10,10,9,9,9,10
23545,94,10,10,10,9,9,9
23619,93,9,10,10,10,10,9
23710,98,10,10,10,10,10,10
23856,91,8,8,10,10,9,9
23919,97,10,10,10,9,10,9
23925,97,10,10,10,10,9,10
24028,98,10,10,10,9,10,9
24030,95,9,9,10,10,10,9
24041,92,9,9,10,10,10,9
24212,91,9,10,10,10,9,9
24240,96,10,9,10,10,10,9
24266,97,10,10,10,10,10,10
24269,94,9,10,10,10,9,10
24349,99,10,10,10,10,10,10
24769,100,10,10,10,10,9,10
24833,84,8,8,8,8,10,8
25002,98,10,10,10,10,10,10
25028,98,10,10,10,10,9,10
25107,94,9,8,10,10,9,9
25200,93,9,9,10,10,9,9
25445,99,10,10,10,10,10,10
25670,80,8,9,10,10,9,8
25672,94,9,10,10,10,9,10
25696,95,10,9,10,10,9,9
26012,98,10,10,10,10,9,10
26116,97,10,10,10,10,10,9
26160,95,10,10,10,10,9,9
26199,98,10,10,10,10,10,10
26540,98,9,10,10,9,10,9
26559,97,10,9,10,10,10,10
26785,98,10,10,10,10,10,10
26834,99,10,10,10,10,10,10
26954,98,10,9,10,10,10,9
26969,96,10,9,10,10,10,10
27006,92,9,9,10,10,10,9
27024,88,9,8,9,10,10,9
27141,84,8,8,8,10,9,8
27385,94,9,9,10,10,10,9
27531,98,10,10,10,10,10,10
27546,88,9,9,9,9,8,9
27611,89,9,10,10,10,10,9
27632,97,10,9,10,10,10,10
27659,96,10,10,10,10,10,9
27759,90,9,8,10,10,9,9
27883,97,9,10,10,10,10,9
28150,81,8,8,9,9,10,8
28321,80,,,,,,
28342,98,10,10,10,10,10,10
28396,91,9,9,9,9,10,9
28547,95,9,9,10,10,9,9
28749,88,9,9,9,9,9,9
28907,99,10,10,10,10,10,10
29012,94,10,10,9,10,8,10
29013,95,9,9,9,9,8,9
29455,92,9,9,9,9,8,9
29628,98,10,10,10,10,10,10
29645,100,9,9,10,10,9,10
29765,99,10,10,10,10,10,10
29931,94,9,10,10,10,10,9
30031,98,10,9,10,10,9,10
30474,99,10,10,10,10,10,10
30712,81,8,7,9,9,9,8
30725,99,10,10,10,10,10,10
30927,88,9,8,9,9,8,8
31130,97,10,10,10,10,10,9
31237,98,10,10,10,10,10,10
31280,95,10,10,10,10,10,9
31425,95,10,10,10,10,10,10
31503,96,10,10,10,10,10,10
31525,95,9,9,10,10,9,9
31555,91,9,8,10,10,10,9
31696,99,10,10,10,10,9,9
31721,94,10,9,10,10,10,9
31796,88,9,9,9,9,8,9
31939,88,9,9,9,9,8,9
31994,90,9,9,9,10,9,9
32029,99,10,10,10,10,10,10
32037,96,10,10,10,10,10,9
32244,95,10,9,10,10,9,9
32250,98,10,10,10,10,10,10
32329,100,10,10,10,10,10,10
32363,80,10,10,8,10,10,8
32396,98,10,10,10,10,10,10
32570,98,10,10,10,10,10,10
32963,100,10,10,10,10,10,10
32965,91,10,9,10,10,9,9
33156,100,10,10,10,10,10,10
33223,93,9,9,9,10,10,9
33399,92,9,9,9,10,9,9
